Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Piso;82.0;1;2;0.0;A estrenar;895000.0;1028586.4;4151.27;27167.0;86403.0
Piso;131.0;4;2;1.0;A estrenar;447300.0;242575.4;2307.17;13120.0;34335.0
Piso;80.0;3;2;3.0;En buen estado;245000.0;682685.09;4200.49;20500.0;54316.0
Casa adosada;120.0;3;3;0.0;En buen estado;315900.0;314766.67;2226.41;13416.0;38662.0
Piso;129.0;3;2;2.0;A estrenar;634000.0;1200411.76;5148.83;19394.0;57962.0
Piso;80.0;3;2;1.0;En buen estado;234000.0;320904.52;2307.83;12745.0;36317.0
Casa;177.0;4;3;0.0;A estrenar;430000.0;320904.52;2307.83;12745.0;36317.0
Ático;88.0;2;2;1.0;A estrenar;419900.0;296686.5;3182.53;13719.0;33790.0
Piso;155.0;4;2;1.0;A estrenar;529900.0;440344.29;2681.07;13809.0;37487.0
Piso;110.0;3;2;2.0;A reformar;194000.0;306328.57;2115.77;13080.0;36502.0
Piso;47.0;1;1;1.0;En buen estado;205000.0;675858.33;5137.28;17026.0;39991.0
Casa adosada;171.0;4;3;0.0;A estrenar;360000.0;323333.33;1747.9;14379.0;36547.0
Piso;46.0;1;1;3.0;Reformado;390000.0;820074.21;6639.78;19199.0;38360.0
Piso;71.0;3;1;1.0;Reformado;187990.0;258967.62;1906.18;12592.0;38093.0
Piso;209.0;3;2;0.0;A estrenar;399000.0;308670.68;3123.67;13849.0;37141.0
Piso;114.0;3;2;4.0;A reformar;1100000.0;1474913.24;9115.3;25956.0;60217.0
Piso;62.0;2;1;1.0;Reformado;138000.0;206292.31;1965.48;13665.0;38031.0
Piso;50.0;2;1;-0.5;En buen estado;130000.0;192952.13;2158.77;11059.0;30673.0
Piso;111.0;4;2;6.0;A reformar;252260.0;820074.21;6639.78;19199.0;38360.0
Piso;78.0;3;1;1.0;En buen estado;267000.0;246055.29;2777.76;12275.0;32050.0
Piso;129.0;3;2;2.0;A estrenar;634000.0;1200411.76;5148.83;19394.0;57962.0
Piso;66.0;2;2;2.0;A estrenar;280000.0;246055.29;2777.76;12275.0;32050.0
Ático;85.0;2;2;5.0;En buen estado;500000.0;682685.09;4200.49;20500.0;54316.0
Piso;95.0;2;2;3.0;A reformar;295000.0;381560.93;3252.04;15115.0;39321.0
Piso;50.0;1;1;0.0;A estrenar;138000.0;210890.64;2134.95;10929.0;32680.0
Piso;92.0;3;1;6.0;En buen estado;229900.0;221354.76;2379.6;13993.0;36837.0
Piso;106.0;2;2;1.0;En buen estado;995000.0;1474913.24;9115.3;25956.0;60217.0
Piso;60.0;2;1;0.0;En buen estado;198000.0;306328.57;2115.77;13080.0;36502.0
Piso;79.0;2;1;1.0;A reformar;189000.0;370148.66;2169.33;14996.0;43503.0
Chalet;145.0;5;3;0.0;A estrenar;487800.0;507866.67;2564.12;15757.0;46101.0
Chalet;425.0;3;4;0.0;En buen estado;943000.0;682685.09;4200.49;20500.0;54316.0
Piso;162.0;2;2;2.0;Reformado;1170000.0;1616817.59;7863.47;25275.0;56281.0
Piso;119.0;3;2;1.0;A estrenar;239100.0;263150.0;2030.34;13809.0;37487.0
Piso;71.0;3;1;2.0;En buen estado;145000.0;204509.83;2052.7;11788.0;34016.0
Piso;70.0;1;2;2.0;A estrenar;205000.0;248278.5;2450.79;13234.0;36256.0
Casa unifamiliar;252.0;4;2;0.0;En buen estado;519990.0;406000.77;2688.94;16184.000000000002;48274.0
Ático;88.0;2;2;1.0;A estrenar;419900.0;296686.5;3182.53;13719.0;33790.0
Ático;160.0;3;2;1.0;En buen estado;375000.0;192952.13;2158.77;11059.0;30673.0
Piso;187.0;6;2;5.0;En buen estado;1290000.0;820074.21;6639.78;19199.0;38360.0
Piso;53.0;2;1;0.0;En buen estado;169900.0;1235417.65;4893.34;20671.0;55125.0
Piso;88.0;3;1;1.0;En buen estado;159900.0;260408.74;2079.61;13327.0;39791.0
Casa;100.0;2;2;0.0;En buen estado;196000.0;258967.62;1906.18;12592.0;38093.0
Piso;160.0;4;3;1.0;En buen estado;900000.0;675858.33;5137.28;17026.0;39991.0
Ático;131.0;2;2;2.0;En buen estado;440000.0;734591.73;3773.82;21254.0;65428.0
Piso;68.0;2;1;1.0;En buen estado;253500.0;381560.93;3252.04;15115.0;39321.0
Dúplex;160.0;3;3;2.0;En buen estado;295000.0;320904.52;2307.83;12745.0;36317.0
Ático;200.0;4;2;1.0;En buen estado;1120000.0;682685.09;4200.49;20500.0;54316.0
Piso;90.0;3;2;2.0;En buen estado;199000.0;306328.57;2115.77;13080.0;36502.0
Piso;102.0;3;2;1.0;A estrenar;393750.0;433906.82;2550.17;17250.0;54057.0
Piso;90.0;3;2;4.0;En buen estado;210000.0;306328.57;2115.77;13080.0;36502.0
Chalet;400.0;4;4;0.0;En buen estado;889000.0;525900.0;2577.72;17359.0;54713.0
Ático;254.0;3;2;5.0;A estrenar;895000.0;820931.96;2942.56;16370.999999999998;45647.0
Casa adosada;171.0;4;3;0.0;A estrenar;360000.0;323333.33;1747.9;14379.0;36547.0
Piso;80.0;3;1;0.0;A reformar;110000.0;186396.42;1864.74;10251.0;30961.0
Ático;219.0;4;4;1.0;A reformar;1195000.0;1474913.24;9115.3;25956.0;60217.0
Piso;74.0;3;1;1.0;A reformar;154900.0;307364.24;2577.14;14205.0;36962.0
Piso;53.0;2;1;0.0;Reformado;226000.0;404569.14;4016.05;16890.0;41311.0
Piso;105.0;3;2;0.0;En buen estado;300000.0;356083.33;2007.11;13051.0;39923.0
Piso;100.0;3;2;0.0;En buen estado;187900.0;192952.13;2158.77;11059.0;30673.0
Piso;92.0;3;2;7.0;En buen estado;199900.0;204509.83;2052.7;11788.0;34016.0
Ático;146.0;3;2;1.0;En buen estado;585000.0;381560.93;3252.04;15115.0;39321.0
Casa adosada;226.0;3;2;0.0;Reformado;320000.0;206292.31;1965.48;13665.0;38031.0
Piso;63.0;1;1;3.0;En buen estado;221500.0;675858.33;5137.28;17026.0;39991.0
Piso;45.0;2;1;1.0;Reformado;350000.0;1616817.59;7863.47;25275.0;56281.0
Casa;69.0;3;1;0.0;En buen estado;94000.0;226000.0;1235.46;11019.0;28998.0
Ático;168.0;3;2;7.0;A estrenar;574900.0;366900.0;3215.7;13605.0;35278.0
Chalet;95.0;1;2;0.0;En buen estado;315000.0;700333.33;2687.48;16802.0;42412.0
Piso;84.0;3;1;1.0;A reformar;225000.0;611624.62;2519.64;19257.0;58788.0
Piso;73.0;2;2;1.0;A estrenar;155662.0;260408.74;2079.61;13327.0;39791.0
Casa adosada;131.0;3;2;0.0;En buen estado;209900.0;487560.0;1832.85;12207.0;33749.0
Chalet;145.0;5;3;0.0;A estrenar;487800.0;507866.67;2564.12;15757.0;46101.0
Piso;86.0;3;1;3.0;En buen estado;319000.0;682685.09;4200.49;20500.0;54316.0
Piso;131.0;4;2;1.0;Reformado;450000.0;292565.38;2668.12;13600.0;37800.0
Piso;211.0;5;4;1.0;A reformar;1650000.0;1235417.65;4893.34;20671.0;55125.0
Piso;118.0;3;2;1.0;A estrenar;305500.0;366900.0;3215.7;13605.0;35278.0
