Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Piso;200.0;2;3;2.0;En buen estado;5000.0;3886.67;27.61;25956.0;60217.0
Piso;218.0;2;2;7.0;Reformado;5800.0;3396.94;22.37;28233.0;69670.0
Piso;110.0;2;2;4.0;A estrenar;3650.0;2787.63;26.98;19199.0;38360.0
Dúplex;95.0;1;2;1.0;En buen estado;2450.0;3441.98;25.93;25275.0;56281.0
Piso;95.0;2;1;1.0;Reformado;1800.0;2506.52;22.52;23925.0;57448.0
Piso;130.0;2;2;10.0;En buen estado;2200.0;3396.94;22.37;28233.0;69670.0
Piso;95.0;2;2;3.0;A estrenar;3350.0;2787.63;26.98;19199.0;38360.0
Piso;65.0;2;2;3.0;Reformado;2100.0;2787.63;26.98;19199.0;38360.0
Piso;155.0;4;2;4.0;En buen estado;2390.0;2545.3;20.32;24659.0;63205.0
Ático;264.0;3;3;9.0;En buen estado;6500.0;3886.67;27.61;25956.0;60217.0
Piso;138.0;3;3;2.0;En buen estado;3900.0;2787.63;26.98;19199.0;38360.0
Piso;160.0;4;3;2.0;En buen estado;4400.0;4039.88;19.27;27167.0;86403.0
Ático;100.0;2;2;6.0;Reformado;1975.0;3396.94;22.37;28233.0;69670.0
Piso;260.0;4;4;4.0;Reformado;6000.0;3396.94;22.37;28233.0;69670.0
Ático;220.0;2;3;5.0;Reformado;4800.0;2787.63;26.98;19199.0;38360.0
Piso;247.0;3;4;2.0;Reformado;4500.0;3886.67;27.61;25956.0;60217.0
Piso;100.0;2;2;0.0;En buen estado;2200.0;2506.52;22.52;23925.0;57448.0
Ático;133.0;2;2;5.0;A estrenar;5550.0;2787.63;26.98;19199.0;38360.0
Piso;67.0;1;1;6.0;Reformado;1900.0;3886.67;27.61;25956.0;60217.0
Piso;107.0;2;2;2.0;En buen estado;1400.0;1146.0;12.3;13809.0;37487.0
Apartamento;50.0;1;1;0.0;A estrenar;1850.0;2787.63;26.98;19199.0;38360.0
Ático;82.0;1;1;6.0;En buen estado;2675.0;2787.63;26.98;19199.0;38360.0
Ático;182.0;2;2;2.0;A estrenar;6500.0;2787.63;26.98;19199.0;38360.0
Dúplex;90.0;1;1;1.0;En buen estado;1375.0;1278.57;16.42;15115.0;39321.0
Apartamento;100.0;2;2;4.0;A estrenar;3200.0;2787.63;26.98;19199.0;38360.0
Piso;68.0;1;1;2.0;En buen estado;700.0;1275.83;10.49;15757.0;46101.0
Ático;65.0;2;1;4.0;A estrenar;2660.0;2787.63;26.98;19199.0;38360.0
Piso;42.0;1;1;2.0;En buen estado;1100.0;3441.98;25.93;25275.0;56281.0
Ático;85.0;1;1;6.0;En buen estado;2850.0;2787.63;26.98;19199.0;38360.0
Piso;136.0;4;2;3.0;En buen estado;1000.0;2787.63;26.98;19199.0;38360.0
Piso;94.0;1;2;2.0;A estrenar;3100.0;3441.98;25.93;25275.0;56281.0
Apartamento;63.0;1;1;3.0;En buen estado;900.0;1119.5;15.28;13605.0;35278.0
Piso;117.0;2;2;1.0;En buen estado;3700.0;3441.98;25.93;25275.0;56281.0
Apartamento;57.0;1;1;1.0;Reformado;2550.0;3441.98;25.93;25275.0;56281.0
Ático;70.0;1;1;15.0;Reformado;1750.0;1950.7;21.77;17026.0;39991.0
Apartamento;45.0;1;1;2.0;A estrenar;2250.0;2787.63;26.98;19199.0;38360.0
Dúplex;120.0;2;3;2.0;En buen estado;3600.0;4039.88;19.27;27167.0;86403.0
